musica_buscada,titulo_video_encontrado,status,busca_limpa,titulo_limpo,similaridade
Way down yonder in New Orleans Joe Turner Layton,Way Down Yonder In New Orleans,Sucesso (Verificado),way down yonder in new orleans joe turner layton,way down yonder in new orleans,100
What a Wonderful World Bob Thiele,Bob Thiele & Georg David Weis - What A Wonderful World (Lyrics),Sucesso (Verificado),what a wonderful world bob thiele,bob thiele georg david weis what a wonderful world,100
What Is This Thing Called Love Cole Porter,What Is This Thing Called Love,Sucesso (Verificado),what is this thing called love cole porter,what is this thing called love,100
"Well, You Needn’t Thelonious Monk",Well You Needn't by Thelonious Monk from 'Monk's Music',Sucesso (Verificado),well you neednt thelonious monk,well you neednt by thelonious monk from monks music,100
When I Fall In Love Victor Young,When I Fall in Love,Sucesso (Verificado),when i fall in love victor young,when i fall in love,100
Whatever Lola wants Richard Adler,Richard Adler - Jerry Ross: Whatever Lola wants,Sucesso (Verificado),whatever lola wants richard adler,richard adler jerry ross whatever lola wants,100
When the Saints,"Lady Gaga - Oh, When The Saints (Official Audio)",Sucesso (Verificado),when the saints,lady gaga oh when the saints,100
When Sunny Gets Blue Marvin Fisher,"When Sunny Gets Blue - Jack Segal & Marvin Fisher, 1946",Sucesso (Verificado),when sunny gets blue marvin fisher,when sunny gets blue jack segal marvin fisher 1946,100
When I Grow Too Old To Dream Sigmund Romberg,When I Grow Too Old to Dream / Remember,Sucesso (Verificado),when i grow too old to dream sigmund romberg,when i grow too old to dream remember,86
When Will the Blues Leave Ornette Coleman,Ornette Coleman - When Will The Blues Leave (Official Audio),Sucesso (Verificado),when will the blues leave ornette coleman,ornette coleman when will the blues leave,100
White Christmas Irving Berlin,"""White Christmas"" from Irving Berlin's WHITE CHRISTMAS (Official Lyric Video)",Sucesso (Verificado),white christmas irving berlin,white christmas from irving berlins white christmas,91
When you`re smiling Larry Shay,"Larry Shay, Mark Fisher, Joe Goodwin: When You're Smiling arr. by Tom Kubis",Sucesso (Verificado),when youre smiling larry shay,larry shay mark fisher joe goodwin when youre smiling arr by tom kubis,100
Who walk in when I walk out Al Goodhart,Who walks in When I Walk Out  by Ralph Freed/Al Hofman/Al Goodhart(Recording with dixieland band),Sucesso (Verificado),who walk in when i walk out al goodhart,who walks in when i walk out by ralph freedal hofmanal goodhart,95
Who Can I Turn To? Anthony Newley,Who Can I turn To (remastered audio) - Anthony Newley,Sucesso (Verificado),who can i turn to anthony newley,who can i turn to anthony newley,100
Whisper Not Benny Golson,♫ Whisper Not / Benny Golson Quintet,Sucesso (Verificado),whisper not benny golson,whisper not benny golson quintet,100
Who`s Sorry Now Ted Snyder,Ted Snyder: Who's Sorry Now - Salena Jones,Sucesso (Verificado),whos sorry now ted snyder,ted snyder whos sorry now salena jones,100
Windows Chick Corea,Windows,Sucesso (Verificado),windows chick corea,windows,100
Willow Weep for Me Ann Ronell,Χάρης Παπασιδέρης - Willow Weep For Me by Ann Ronell,Sucesso (Verificado),willow weep for me ann ronell,χάρης παπασιδέρης willow weep for me by ann ronell,100
Yardbird Suite Charlie Parker,Charlie Parker - Yardbird Suite (Official Audio),Sucesso (Verificado),yardbird suite charlie parker,charlie parker yardbird suite,100
Witchcraft Cy Coleman,Cy Coleman - Witchcraft,Sucesso (Verificado),witchcraft cy coleman,cy coleman witchcraft,100
Wolverine blues Jelly Roll Morton,Jelly Roll Morton - Wolverine Blues,Sucesso (Verificado),wolverine blues jelly roll morton,jelly roll morton wolverine blues,100
You Always Hurt The One You Love Allan Roberts,You Always Hurt The One You Love (1958 Version),Sucesso (Verificado),you always hurt the one you love allan roberts,you always hurt the one you love,100
You Are The Sunshine of My Life Stevie Wonder,You Are The Sunshine Of My Life,Sucesso (Verificado),you are the sunshine of my life stevie wonder,you are the sunshine of my life,100
Yesterdays Jerome Kern,Yesterdays,Sucesso (Verificado),yesterdays jerome kern,yesterdays,100
You Made Me Love You James V. Monaco,You Made Me Love You,Sucesso (Verificado),you made me love you james v monaco,you made me love you,100
You Can Depend On Me Charles Carpenter,You can depend on me,Sucesso (Verificado),you can depend on me charles carpenter,you can depend on me,100
You Make Me Feel So Young Josef Myrow,You Make me Feel so Young - by Josef Myrow,Sucesso (Verificado),you make me feel so young josef myrow,you make me feel so young by josef myrow,100
